,name,price
253,"ლუდი ""გროლში"" (ქილა) 0,5ლ",3.95
254,"ლუდი ""შავი ლომი"" IPA (შუშა) 0.50ლ",5.95
255,"ლუდი ""ეფეს"" (ქილა) 0,5ლ",3.3
256,"ლუდი ""შავი ლომი"" APA (შუშა) 0.50ლ",5.95
257,"ლუდი ""შავი ლომი"" შავი (შუშა) 0.50ლ",5.95
258,"ლუდი ""ესტრელა"" (ქილა) 0,5ლ",4.7
259,"ლუდი ""ჰაინეკენი"" 0,5ლ სააქციო (5ც + ჭიქა)",19.95
260,"ლუდი ""ქარვა"" (პეტი) 2,5ლ",7.95
261,"ლუდი ""აილუდი"" (პეტი) 2,5ლ",5.95
262,"ლუდი ""ტრიდე"" (პეტი) 2,5ლ",7.95
263,"ლუდი ""კასრის"" (პეტი) 1,5ლ",4.95
264,"ლუდი ""ნატახტარი"" (პეტი) 2,35ლ",8.45
265,"ლუდი ""სტაროპრამენ"" (პეტი) 2,5ლ",9.95
266,"ლუდი ""ლოვენბრაუ"" (პეტი) 2,5ლ",10.5
267,"ლუდი ""ლოვენბრაუ"" (პეტი) 1,0ლ",4.95
268,"ლუდი ""ნატახტარი"" (პეტი) 1,0ლ",4.5
269,"ლუდი ""სტაროპრამენ"" (პეტი) 1,5ლ",6.5
270,"ლუდი ""ჰაინეკენი"" 0,5ლ",4.95
271,"ლუდი ""სტაროპრამენ"" 0,5ლ",3.2
272,"ლუდი ""ქარვა"" 0,5ლ",3
273,"ლუდი ""ეფესი"" 0,5ლ",3.3
274,"ლუდი ""ლოვენბრაუ"" 0,5ლ",2.49
275,"ლუდი ""კასრის"" 0,5ლ",2.7
276,"ლუდი ""ნატახტარი"" 0,5ლ",2.29
277,"ღვინო თეთრი ""ბადაგონი"" წინანდალი (მშრალი) 0,75ლ",9.95
278,"ღვინო თეთრი ""ალავი"" კახური (მშრალი) 1ლ",2.95
279,"ღვინო თეთრი ""ბადაგონი"" ტვიში (ნ/ტკბილი) 0,75ლ",16.95
280,"ღვინო თეთრი ""სმური"" ევროპული (მშრალი) 0,75ლ",5.95
281,"ღვინო თეთრი ""სმური"" კახური (მშრალი) 0,75ლ",3.99
282,"ღვინო თეთრი ""ბადაგონი"" ქისი (მშრალი) 0,75ლ",16.95
283,"ღვინო თეთრი ""ბადაგონი"" მანავის მწვენე (მშრალი) 0,75ლ",6.95
284,"ღვინო წითელი ""ბადაგონი"" საფერავი(მშრალი) 0,75ლ",12.95
285,"ღვინი წითელო ""ალავი"" საფერავი (მშრალი) 1ლ",6.45
286,"ღვინო წითელი ""ბადაგონი"" ქინძმარაული (ნ/ტკბილი) 0,75ლ",16.95
287,"ღვინო წითელი ""ბადაგონი"" ალაზნის ველი (ნ/ტკბილი) 0,75ლ",10.95
288,"ღვინო წითელი ""სმური"" საფერავი (მშრალი) 0,75ლ",4.99
289,"ღვინო წითელი ""სმური"" ალაზნის ველი (ტკბილი) 0,75ლ",5.95
290,"ღვინო წითელი ""სმური"" ქინძმარაული (ნ/ტკბილი) 0,75ლ",11.95
291,"ღვინო წითელი ""ბადაგონი"" ახაშენი (ნ/ტკბილი) 0,75ლ",9.95
292,"ღვინო წითელი ""ბადაგონი"" ფიროსმანი (ნ/მშრალი) 0,75ლ",7.95
293,"ღვინო თეთრი ""ალავი"" კახური (მშრალი) 5ლ",9.99
294,"ღვინო ცქრიალა ""ბაგრატიონი"" კლასიკური (ნ/მშრალი) 0,75ლ",10.95
295,"ღვინო ცქრიალა ""ბაგრატიონი"" კლასიკური (ნ/ტკბილი) 0,75ლ",10.95
296,"ღვინო ცქრიალა ""მაესტრო"" საფერავი (ნ/ტკბილი) 0,75ლ",8.95
297,"ღვინო ცქრიალა ""მაესტრო"" (ნ/ტკბილი) 0,75ლ",8.95
298,"ღვინო ცქრიალა ""მაესტრო"" (ნ/მშრალი) 0,75ლ",8.95
299,"ღვინო ცქრიალა ""ბაგრატიონი"" ვარდისფერი (ნ/ტკბილი) 0,75ლ",10.95
